DateTime,Consumption,Month,Year,Week
2016-06-16,8298.958333333334,6.0,2016.0,24.0
2016-06-17,8442.791666666666,6.0,2016.0,24.0
2016-06-18,7797.625,6.0,2016.0,24.0
2016-06-19,7427.208333333333,6.0,2016.0,24.0
2016-06-20,7811.625,6.0,2016.0,25.0
2016-06-21,7753.541666666667,6.0,2016.0,25.0
2016-06-22,7439.125,6.0,2016.0,25.0
2016-06-23,7283.458333333333,6.0,2016.0,25.0
2016-06-24,6587.083333333333,6.0,2016.0,25.0
2016-06-25,6364.090909090909,6.0,2016.0,25.0
2016-06-26,6427.208333333333,6.0,2016.0,25.0
2016-06-27,7372.75,6.0,2016.0,26.0
2016-06-28,7938.166666666667,6.0,2016.0,26.0
2016-06-29,8076.375,6.0,2016.0,26.0
2016-06-30,8169.5,6.0,2016.0,26.0
2016-07-01,8293.833333333334,7.0,2016.0,26.0
2016-07-02,7659.375,7.0,2016.0,26.0
2016-07-03,7485.083333333333,7.0,2016.0,26.0
2016-07-04,8333.0,7.0,2016.0,27.0
2016-07-05,8389.791666666666,7.0,2016.0,27.0
2016-07-06,8378.208333333334,7.0,2016.0,27.0
2016-07-07,8374.833333333334,7.0,2016.0,27.0
2016-07-08,8322.625,7.0,2016.0,27.0
2016-07-09,7687.791666666667,7.0,2016.0,27.0
2016-07-10,7449.5,7.0,2016.0,27.0
2016-07-11,8081.333333333333,7.0,2016.0,28.0
2016-07-12,7934.416666666667,7.0,2016.0,28.0
2016-07-13,8010.666666666667,7.0,2016.0,28.0
2016-07-14,7990.458333333333,7.0,2016.0,28.0
2016-07-15,8244.583333333334,7.0,2016.0,28.0
2016-07-16,7638.291666666667,7.0,2016.0,28.0
2016-07-17,7379.416666666667,7.0,2016.0,28.0
2016-07-18,8124.541666666667,7.0,2016.0,29.0
2016-07-19,8036.5,7.0,2016.0,29.0
2016-07-20,7933.958333333333,7.0,2016.0,29.0
2016-07-21,7899.5,7.0,2016.0,29.0
2016-07-22,8092.791666666667,7.0,2016.0,29.0
2016-07-23,7662.083333333333,7.0,2016.0,29.0
2016-07-24,7461.458333333333,7.0,2016.0,29.0
2016-07-25,8071.041666666667,7.0,2016.0,30.0
2016-07-26,8005.416666666667,7.0,2016.0,30.0
2016-07-27,7993.259259259259,7.0,2016.0,30.0
2016-07-28,8025.541666666667,7.0,2016.0,30.0
2016-07-29,8164.916666666667,7.0,2016.0,30.0
2016-07-30,7664.958333333333,7.0,2016.0,30.0
2016-07-31,7404.25,7.0,2016.0,30.0
2016-08-01,8118.75,8.0,2016.0,31.0
2016-08-02,8262.833333333334,8.0,2016.0,31.0
2016-08-03,8081.208333333333,8.0,2016.0,31.0
2016-08-04,8211.25,8.0,2016.0,31.0
2016-08-05,8332.625,8.0,2016.0,31.0
2016-08-06,7805.75,8.0,2016.0,31.0
2016-08-07,7585.125,8.0,2016.0,31.0
2016-08-08,8235.041666666666,8.0,2016.0,32.0
2016-08-09,8423.375,8.0,2016.0,32.0
2016-08-10,8547.666666666666,8.0,2016.0,32.0
2016-08-11,8620.416666666666,8.0,2016.0,32.0
2016-08-12,8490.208333333334,8.0,2016.0,32.0
2016-08-13,7963.958333333333,8.0,2016.0,32.0
2016-08-14,7705.0,8.0,2016.0,32.0
2016-08-15,8542.166666666666,8.0,2016.0,33.0
2016-08-16,8528.25,8.0,2016.0,33.0
2016-08-17,8550.208333333334,8.0,2016.0,33.0
2016-08-18,8521.875,8.0,2016.0,33.0
2016-08-19,8498.875,8.0,2016.0,33.0
2016-08-20,7868.291666666667,8.0,2016.0,33.0
2016-08-21,7698.5,8.0,2016.0,33.0
2016-08-22,8486.125,8.0,2016.0,34.0
2016-08-23,8426.291666666666,8.0,2016.0,34.0
2016-08-24,8386.708333333334,8.0,2016.0,34.0
2016-08-25,8691.416666666666,8.0,2016.0,34.0
2016-08-26,8678.833333333334,8.0,2016.0,34.0
2016-08-27,7935.375,8.0,2016.0,34.0
2016-08-28,7751.166666666667,8.0,2016.0,34.0
2016-08-29,8692.791666666666,8.0,2016.0,35.0
2016-08-30,8611.208333333334,8.0,2016.0,35.0
2016-08-31,8563.916666666666,8.0,2016.0,35.0
2016-09-01,8727.208333333334,9.0,2016.0,35.0
2016-09-02,8630.208333333334,9.0,2016.0,35.0
2016-09-03,8088.666666666667,9.0,2016.0,35.0
2016-09-04,7793.166666666667,9.0,2016.0,35.0
2016-09-05,8465.083333333334,9.0,2016.0,36.0
2016-09-06,8710.791666666666,9.0,2016.0,36.0
2016-09-07,8599.958333333334,9.0,2016.0,36.0
2016-09-08,8591.5,9.0,2016.0,36.0
2016-09-09,8809.291666666666,9.0,2016.0,36.0
2016-09-10,8207.291666666666,9.0,2016.0,36.0
2016-09-11,7827.875,9.0,2016.0,36.0
2016-09-12,8556.75,9.0,2016.0,37.0
2016-09-13,8707.291666666666,9.0,2016.0,37.0
2016-09-14,8718.041666666666,9.0,2016.0,37.0
2016-09-15,8683.625,9.0,2016.0,37.0
2016-09-16,8762.583333333334,9.0,2016.0,37.0
2016-09-17,8184.458333333333,9.0,2016.0,37.0
2016-09-18,7912.5,9.0,2016.0,37.0
2016-09-19,8784.125,9.0,2016.0,38.0
2016-09-20,8886.0,9.0,2016.0,38.0
2016-09-21,8964.333333333334,9.0,2016.0,38.0
2016-09-22,8911.125,9.0,2016.0,38.0
2016-09-23,9112.833333333334,9.0,2016.0,38.0
2016-09-24,8426.875,9.0,2016.0,38.0
2016-09-25,7983.684210526316,9.0,2016.0,38.0
2016-09-26,8770.25,9.0,2016.0,39.0
2016-09-27,8806.25,9.0,2016.0,39.0
2016-09-28,8950.291666666666,9.0,2016.0,39.0
2016-09-29,9002.041666666666,9.0,2016.0,39.0
2016-09-30,8980.833333333334,9.0,2016.0,39.0
2016-10-01,8314.166666666666,10.0,2016.0,39.0
2016-10-02,8288.916666666666,10.0,2016.0,39.0
2016-10-03,9233.125,10.0,2016.0,40.0
2016-10-04,9394.583333333334,10.0,2016.0,40.0
2016-10-05,9459.703703703704,10.0,2016.0,40.0
2016-10-06,9747.541666666666,10.0,2016.0,40.0
2016-10-07,9723.583333333334,10.0,2016.0,40.0
2016-10-08,8981.125,10.0,2016.0,40.0
2016-10-09,8838.875,10.0,2016.0,40.0
2016-10-10,9710.041666666666,10.0,2016.0,41.0
2016-10-11,9857.958333333334,10.0,2016.0,41.0
2016-10-12,9877.333333333334,10.0,2016.0,41.0
2016-10-13,10109.916666666666,10.0,2016.0,41.0
2016-10-14,10247.625,10.0,2016.0,41.0
2016-10-15,9415.875,10.0,2016.0,41.0
2016-10-16,9012.0,10.0,2016.0,41.0
2016-10-17,9823.375,10.0,2016.0,42.0
2016-10-18,9759.0,10.0,2016.0,42.0
2016-10-19,9911.0,10.0,2016.0,42.0
2016-10-20,10057.708333333334,10.0,2016.0,42.0
2016-10-21,10176.25,10.0,2016.0,42.0
2016-10-22,9677.958333333334,10.0,2016.0,42.0
2016-10-23,9340.333333333334,10.0,2016.0,42.0
2016-10-24,10098.833333333334,10.0,2016.0,43.0
2016-10-25,10128.5,10.0,2016.0,43.0
2016-10-26,10374.375,10.0,2016.0,43.0
2016-10-27,10258.041666666666,10.0,2016.0,43.0
2016-10-28,9868.75,10.0,2016.0,43.0
2016-10-29,9424.166666666666,10.0,2016.0,43.0
2016-10-30,9248.130434782608,10.0,2016.0,43.0
2016-10-31,10154.5,10.0,2016.0,44.0
2016-11-01,10523.333333333334,11.0,2016.0,44.0
2016-11-02,10706.333333333334,11.0,2016.0,44.0
2016-11-03,10798.875,11.0,2016.0,44.0
2016-11-04,10915.0,11.0,2016.0,44.0
2016-11-05,10576.5,11.0,2016.0,44.0
2016-11-06,10662.25,11.0,2016.0,44.0
2016-11-07,11577.541666666666,11.0,2016.0,45.0
2016-11-08,11557.375,11.0,2016.0,45.0
2016-11-09,11374.375,11.0,2016.0,45.0
2016-11-10,11424.375,11.0,2016.0,45.0
2016-11-11,11597.333333333334,11.0,2016.0,45.0
2016-11-12,11010.25,11.0,2016.0,45.0
2016-11-13,10419.458333333334,11.0,2016.0,45.0
2016-11-14,11183.041666666666,11.0,2016.0,46.0
2016-11-15,11102.25,11.0,2016.0,46.0
2016-11-16,10789.208333333334,11.0,2016.0,46.0
2016-11-17,10458.75,11.0,2016.0,46.0
2016-11-18,10518.208333333334,11.0,2016.0,46.0
2016-11-19,9752.708333333334,11.0,2016.0,46.0
2016-11-20,9444.125,11.0,2016.0,46.0
2016-11-21,9926.875,11.0,2016.0,47.0
2016-11-22,9894.583333333334,11.0,2016.0,47.0
2016-11-23,10039.615384615385,11.0,2016.0,47.0
2016-11-24,10124.266666666666,11.0,2016.0,47.0
2016-11-25,10790.125,11.0,2016.0,47.0
2016-11-26,10040.333333333334,11.0,2016.0,47.0
2016-11-27,10095.083333333334,11.0,2016.0,47.0
2016-11-28,11181.541666666666,11.0,2016.0,48.0
2016-11-29,11536.125,11.0,2016.0,48.0
2016-11-30,10840.916666666666,11.0,2016.0,48.0
2016-12-01,10804.75,12.0,2016.0,48.0
2016-12-02,11190.583333333334,12.0,2016.0,48.0
2016-12-03,10908.125,12.0,2016.0,48.0
2016-12-04,11194.642857142857,12.0,2016.0,48.0
2016-12-05,10859.875,12.0,2016.0,49.0
2016-12-06,11170.25,12.0,2016.0,49.0
2016-12-07,11307.166666666666,12.0,2016.0,49.0
2016-12-08,10738.833333333334,12.0,2016.0,49.0
2016-12-09,10971.625,12.0,2016.0,49.0
2016-12-10,10994.125,12.0,2016.0,49.0
2016-12-11,11202.25,12.0,2016.0,49.0
2016-12-12,12111.458333333334,12.0,2016.0,50.0
2016-12-13,11873.541666666666,12.0,2016.0,50.0
2016-12-14,11647.333333333334,12.0,2016.0,50.0
2016-12-15,11451.291666666666,12.0,2016.0,50.0
2016-12-16,11495.416666666666,12.0,2016.0,50.0
2016-12-17,10871.434782608696,12.0,2016.0,50.0
2016-12-18,10371.541666666666,12.0,2016.0,50.0
2016-12-19,10913.5,12.0,2016.0,51.0
2016-12-20,10534.25,12.0,2016.0,51.0
2016-12-21,10388.25,12.0,2016.0,51.0
2016-12-22,10209.958333333334,12.0,2016.0,51.0
2016-12-23,9672.0,12.0,2016.0,51.0
2016-12-24,9046.541666666666,12.0,2016.0,51.0
2016-12-25,8605.375,12.0,2016.0,51.0
2016-12-26,8841.041666666666,12.0,2016.0,52.0
2016-12-27,9762.916666666666,12.0,2016.0,52.0
2016-12-28,10610.75,12.0,2016.0,52.0
2016-12-29,10741.5,12.0,2016.0,52.0
2016-12-30,10497.291666666666,12.0,2016.0,52.0
2016-12-31,9789.333333333334,12.0,2016.0,52.0
2017-01-01,9914.625,1.0,2017.0,52.0
2017-01-02,11228.458333333334,1.0,2017.0,1.0
2017-01-03,11880.25,1.0,2017.0,1.0
2017-01-04,12571.541666666666,1.0,2017.0,1.0
2017-01-05,13466.0,1.0,2017.0,1.0
2017-01-06,13194.708333333334,1.0,2017.0,1.0
2017-01-07,11919.25,1.0,2017.0,1.0
2017-01-08,10796.583333333334,1.0,2017.0,1.0
2017-01-09,11097.333333333334,1.0,2017.0,2.0
2017-01-10,10979.208333333334,1.0,2017.0,2.0
2017-01-11,11109.041666666666,1.0,2017.0,2.0
2017-01-12,11341.0,1.0,2017.0,2.0
2017-01-13,11262.0,1.0,2017.0,2.0
2017-01-14,10524.375,1.0,2017.0,2.0
2017-01-15,10529.083333333334,1.0,2017.0,2.0
2017-01-16,11646.791666666666,1.0,2017.0,3.0
2017-01-17,11652.416666666666,1.0,2017.0,3.0
2017-01-18,11191.5,1.0,2017.0,3.0
2017-01-19,10910.291666666666,1.0,2017.0,3.0
2017-01-20,11242.875,1.0,2017.0,3.0
2017-01-21,10733.478260869566,1.0,2017.0,3.0
2017-01-22,10419.083333333334,1.0,2017.0,3.0
2017-01-23,11027.416666666666,1.0,2017.0,4.0
2017-01-24,11397.32,1.0,2017.0,4.0
2017-01-25,11892.083333333334,1.0,2017.0,4.0
2017-01-26,11284.708333333334,1.0,2017.0,4.0
2017-01-27,11077.5,1.0,2017.0,4.0
2017-01-28,10686.583333333334,1.0,2017.0,4.0
2017-01-29,10362.75,1.0,2017.0,4.0
2017-01-30,11127.083333333334,1.0,2017.0,5.0
2017-01-31,11187.083333333334,1.0,2017.0,5.0
2017-02-01,11359.416666666666,2.0,2017.0,5.0
2017-02-02,11562.0,2.0,2017.0,5.0
2017-02-03,11576.0,2.0,2017.0,5.0
2017-02-04,10741.0,2.0,2017.0,5.0
2017-02-05,10664.25,2.0,2017.0,5.0
2017-02-06,12047.458333333334,2.0,2017.0,6.0
2017-02-07,12845.0,2.0,2017.0,6.0
2017-02-08,12802.583333333334,2.0,2017.0,6.0
2017-02-09,12921.833333333334,2.0,2017.0,6.0
2017-02-10,12712.458333333334,2.0,2017.0,6.0
