日期,负荷,负荷_interp,负荷_filled,负荷_diff1,负荷_diff2
37605,1779.681,1779.681,1779.681,-67.86599999999999,-174.33500000000004
37606,1966.777,1966.777,1966.777,187.096,119.23000000000002
37607,2020.455,2020.455,2020.455,53.677999999999884,240.7739999999999
37608,1966.946,1966.946,1966.946,-53.509000000000015,0.16899999999986903
37609,1897.077,1897.077,1897.077,-69.86899999999991,-123.37799999999993
37610,1957.391,1957.391,1957.391,60.31400000000008,-9.554999999999836
37611,1869.635,1869.635,1869.635,-87.75600000000009,-27.442000000000007
37612,1808.667,1808.667,1808.667,-60.968000000000075,-148.72400000000016
37613,2011.167,2011.167,2011.167,202.5,141.53199999999993
37614,2037.886,2037.886,2037.886,26.71900000000005,229.21900000000005
37615,2116.468,2116.468,2116.468,78.58199999999988,105.30099999999993
37616,2074.055,2074.055,2074.055,-42.41300000000001,36.16899999999987
37617,2074.162,2074.162,2074.162,0.1069999999999709,-42.30600000000004
37618,,2023.701,2023.701,-50.460999999999785,-50.353999999999814
37619,1973.24,1973.24,1973.24,-50.46100000000001,-100.9219999999998
37620,2022.363,2022.363,2022.363,49.12300000000005,-1.3379999999999654
37621,2060.733,2060.733,2060.733,38.37000000000012,87.49300000000017
37622,1886.784,1886.784,1886.784,-173.94900000000007,-135.57899999999995
37623,2093.609,2093.609,2093.609,206.82499999999982,32.87599999999975
37624,2144.202,2144.202,2144.202,50.5930000000003,257.4180000000001
37625,2031.939,2031.939,2031.939,-112.26300000000015,-61.669999999999845
37626,2092.762,2092.762,2092.762,60.82300000000009,-51.440000000000055
37627,2082.592,2082.592,2082.592,-10.170000000000073,50.65300000000002
37628,2193.054,2193.054,2193.054,110.46199999999999,100.29199999999992
37629,2174.712,2174.712,2174.712,-18.3420000000001,92.11999999999989
37630,2125.666,2125.666,2125.666,-49.04599999999982,-67.38799999999992
37631,2138.156,2138.156,2138.156,12.489999999999782,-36.55600000000004
37632,2017.781,2017.781,2017.781,-120.375,-107.88500000000022
37633,1909.479,1909.479,1909.479,-108.30199999999991,-228.6769999999999
37634,1976.352,1976.352,1976.352,66.87300000000005,-41.42899999999986
37635,2017.692,2017.692,2017.692,41.33999999999992,108.21299999999997
37636,2051.48,2051.48,2051.48,33.78800000000001,75.12799999999993
37637,,2004.5605,2004.5605,-46.91949999999997,-13.13149999999996
37638,1957.641,1957.641,1957.641,-46.91949999999997,-93.83899999999994
37639,1912.133,1912.133,1912.133,-45.50800000000004,-92.42750000000001
37640,1864.214,1864.214,1864.214,-47.919000000000096,-93.42700000000013
37641,1987.341,1987.341,1987.341,123.12699999999995,75.20799999999986
37642,1994.535,1994.535,1994.535,7.194000000000187,130.32100000000014
37643,1993.61,1993.61,1993.61,-0.9250000000001819,6.2690000000000055
37644,1986.687,1986.687,1986.687,-6.923000000000002,-7.848000000000184
37645,1838.601,1838.601,1838.601,-148.08599999999979,-155.0089999999998
37646,,1853.127,1853.127,14.52599999999984,-133.55999999999995
37647,1867.653,1867.653,1867.653,14.526000000000067,29.051999999999907
37648,1967.983,1967.983,1967.983,100.32999999999993,114.856
37649,1879.606,1879.606,1879.606,-88.37699999999995,11.952999999999975
37650,1828.914,1828.914,1828.914,-50.69200000000001,-139.06899999999996
37651,1786.733,1786.733,1786.733,-42.18100000000004,-92.87300000000005
37652,1635.841,1635.841,1635.841,-150.89200000000005,-193.0730000000001
37653,1494.852,1494.852,1494.852,-140.9889999999998,-291.88099999999986
37654,,1495.77125,1495.77125,0.91924999999992,-140.06974999999989
37655,,1496.6905000000002,1496.6905000000002,0.9192500000001473,1.8385000000000673
37656,,1497.60975,1497.60975,0.91924999999992,1.8385000000000673
37657,1498.529,1498.529,1498.529,0.91924999999992,1.83849999999984
37658,1532.062,1532.062,1532.062,33.5329999999999,34.45224999999982
37659,1576.753,1576.753,1576.753,44.69100000000003,78.22399999999993
